ric,ts,open,high,low,close,volume
ALVG.DE,2022-01-03 00:00:00+00:00,208.05,211.0,207.95,,
ALVG.DE,2022-01-04 00:00:00+00:00,210.45,216.05,210.3,,
ALVG.DE,2022-01-05 00:00:00+00:00,217.0,217.0,215.55,,
ALVG.DE,2022-01-06 00:00:00+00:00,216.35,220.4,214.9,,
ALVG.DE,2022-01-07 00:00:00+00:00,220.75,222.55,219.65,,
ALVG.DE,2022-01-10 00:00:00+00:00,223.0,224.7,222.7,,
ALVG.DE,2022-01-11 00:00:00+00:00,224.85,225.8,223.35,,
ALVG.DE,2022-01-12 00:00:00+00:00,226.05,226.4,224.3,,
ALVG.DE,2022-01-13 00:00:00+00:00,225.85,227.4,224.95,,
ALVG.DE,2022-01-14 00:00:00+00:00,225.3,227.35,224.8,,
ALVG.DE,2022-01-17 00:00:00+00:00,227.2,227.85,225.75,,
ALVG.DE,2022-01-18 00:00:00+00:00,225.95,226.9,224.85,,
ALVG.DE,2022-01-19 00:00:00+00:00,224.5,225.85,223.2,,
ALVG.DE,2022-01-20 00:00:00+00:00,223.15,224.8,221.05,,
ALVG.DE,2022-01-21 00:00:00+00:00,222.5,223.1,218.95,,
ALVG.DE,2022-01-24 00:00:00+00:00,220.9,222.4,214.35,,
ALVG.DE,2022-01-25 00:00:00+00:00,217.8,220.75,216.3,,
ALVG.DE,2022-01-26 00:00:00+00:00,222.0,225.45,221.8,,
ALVG.DE,2022-01-27 00:00:00+00:00,223.25,229.85,221.9,,
ALVG.DE,2022-01-28 00:00:00+00:00,227.5,227.9,224.8,,
ALVG.DE,2022-01-31 00:00:00+00:00,229.65,230.05,226.05,,
ALVG.DE,2022-02-01 00:00:00+00:00,228.1,228.7,225.85,,
ALVG.DE,2022-02-02 00:00:00+00:00,226.85,228.6,226.05,,
ALVG.DE,2022-02-03 00:00:00+00:00,227.1,227.95,225.15,,
ALVG.DE,2022-02-04 00:00:00+00:00,226.4,226.6,220.05,,
ALVG.DE,2022-02-07 00:00:00+00:00,224.1,226.05,222.9,,
ALVG.DE,2022-02-08 00:00:00+00:00,227.85,230.5,226.95,,
ALVG.DE,2022-02-09 00:00:00+00:00,230.85,232.5,229.35,,
